,Date,Unnamed: 0,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
69,2023-02-02,14,plant14,True,1192.0,1296.0,0.9197530864197532,146.36753106117249,45,43,328,"(593.0142617449665, 306.9077181208054)",18,True,"(592.4625854492188, 306.926513671875)",42.93721389770508,36.964168548583984,51.8343620300293,0.508793075621984,55,55,100.0
70,2023-02-02,15,plant15,True,1861.0,2026.0,0.918558736426456,187.92387998104093,58,51,420,"(747.9693713057496, 304.99731327243416)",26,True,"(748.7168579101562, 305.48028564453125)",59.72384643554688,42.92738723754883,125.37145233154295,0.6952535036156453,55,55,100.0
71,2023-02-02,16,plant16,True,1182.0,1209.0,0.977667493796526,139.53910398483276,39,46,286,"(904.4010152284264, 304.8468697123519)",20,True,"(904.58935546875, 305.0472412109375)",46.515872955322266,33.16770935058594,159.4129180908203,0.7011226703308596,55,55,100.0
72,2023-02-02,17,plant17,True,3272.0,3554.0,0.9206527855936972,259.37972366809845,70,74,492,"(1062.1262224938876, 300.2536674816626)",22,True,"(1062.1707763671875, 300.72216796875)",70.30992126464844,65.314453125,164.19638061523438,0.3702033625005343,55,55,100.0
73,2023-02-02,18,plant18,True,1527.0,1643.0,0.9293974437005478,175.68123936653137,53,41,373,"(1209.925343811395, 303.2174197773412)",21,True,"(1210.4991455078125, 302.8786926269531)",52.50341796875,38.68966674804688,74.44300842285156,0.6760038845131536,55,55,100.0
74,2023-02-02,19,plant19,True,2870.0,3147.0,0.9119796631712742,258.3502861261368,75,62,522,"(1376.994425087108, 293.8341463414634)",21,True,"(1376.6104736328125, 293.9004821777344)",68.99519348144531,54.39900588989258,69.593505859375,0.6151035783462491,55,55,100.0
75,2023-02-02,20,plant20,True,3242.0,3828.5,0.8468068434112577,300.0071402788162,89,62,590,"(1541.1332510795805, 297.25601480567553)",25,True,"(1540.3892822265625, 296.9428405761719)",88.05897521972656,53.57549285888672,78.66809844970703,0.793626954132199,55,55,100.0
76,2023-02-02,21,plant21,True,3035.0,3687.5,0.8230508474576271,323.90663504600525,96,54,659,"(1707.3940691927512, 301.6698517298188)",17,True,"(1707.8243408203125, 301.447021484375)",96.30583190917967,44.71261596679688,84.91883850097656,0.8856898705117074,55,55,100.0
77,2023-02-02,22,plant22,True,2818.0,3468.0,0.8125720876585929,292.3502861261368,91,60,638,"(97.7874378992193, 470.87792760823277)",21,True,"(96.93350982666016, 470.06378173828125)",81.96659851074219,51.914249420166016,80.69075012207031,0.773858445709439,55,55,100.0
78,2023-02-02,23,plant23,True,2322.0,2572.0,0.9027993779160186,227.13708305358887,71,55,466,"(266.62704565030145, 470.6731266149871)",20,True,"(266.5997009277344, 471.2383728027344)",66.4933853149414,50.60731506347656,105.98230743408205,0.6486486840325485,55,55,100.0
79,2023-02-02,24,plant24,True,1768.0,1979.5,0.8931548370800707,199.3380935192108,63,45,411,"(434.4095022624434, 466.8585972850679)",20,True,"(434.9128723144531, 466.87640380859375)",61.408634185791016,41.48556137084961,104.97434997558594,0.7372998762461107,55,55,100.0
80,2023-02-02,25,plant25,True,1696.0,1786.5,0.9493422893926672,172.5096664428711,55,50,361,"(598.2806603773585, 466.84787735849056)",20,True,"(598.5060424804688, 466.7589111328125)",53.352027893066406,40.57321166992188,59.25025177001953,0.6493600052504488,55,55,100.0
81,2023-02-02,26,plant26,True,1281.0,1425.5,0.8986320589266924,159.53910398483276,39,47,343,"(753.0772833723653, 465.55893832943013)",17,True,"(752.5494995117188, 465.5347900390625)",46.70831680297852,37.08796310424805,160.58181762695312,0.6078741452945721,55,55,100.0
82,2023-02-02,27,plant27,True,1248.0,1276.5,0.9776733254994124,143.9827550649643,48,35,341,"(908.5905448717949, 465.8661858974359)",19,True,"(908.0687866210938, 465.9910583496094)",49.56433868408203,32.252403259277344,84.51766204833984,0.7593195583027583,55,55,100.0
83,2023-02-02,28,plant28,True,2043.0,2137.5,0.9557894736842104,192.0660153627396,52,56,433,"(1057.4478707782673, 464.0269211943221)",22,True,"(1057.5223388671875, 464.2095642089844)",60.14241790771485,43.60117721557617,38.11921310424805,0.6887851946729292,55,55,100.0
84,2023-02-02,29,plant29,True,1394.0,1786.0,0.780515117581187,236.7939372062683,55,42,406,"(1221.3493543758966, 463.1800573888092)",14,True,"(1221.9774169921875, 462.7366638183594)",55.016998291015625,36.87502670288086,105.3418197631836,0.7421373010738634,55,55,100.0
85,2023-02-02,30,plant30,True,2385.0,2767.0,0.8619443440549331,245.0365778207779,66,52,470,"(1378.7106918238994, 461.1601677148847)",21,True,"(1378.3834228515625, 461.2210693359375)",68.12123107910156,48.4279670715332,86.79705047607422,0.7032844396442518,55,55,100.0
86,2023-02-02,31,plant31,True,2216.0,3137.5,0.7062948207171315,318.4924215078354,77,59,523,"(1541.4819494584838, 463.3253610108303)",20,True,"(1544.0196533203125, 462.90899658203125)",73.14913177490234,49.433536529541016,102.16162109375,0.7370931485556859,55,55,100.0
